지피티 프로에게 1차로 요구한 데이터
id,input_text,expected

1,"검찰입니다. 귀하의 계좌가 범죄에 이용되었습니다. 즉시 안전계좌로 송금하십시오.",HIGH
2,"국민은행입니다. 보안 강화를 위해 아래 링크에서 본인인증을 진행해주세요.",HIGH
3,"택배 배송이 실패했습니다. 아래 링크를 클릭하여 주소를 수정하세요.",HIGH
4,"정부지원금 대상자로 선정되었습니다. 지금 바로 신청하세요.",HIGH
5,"휴대폰이 정지될 예정입니다. 인증번호를 입력하세요.",HIGH
6,"아들입니다. 휴대폰이 고장나서 이 번호를 사용 중입니다. 급하게 50만원만 보내주세요.",HIGH
7,"경찰청입니다. 사건에 연루되어 조사 중입니다. 즉시 연락 바랍니다.",HIGH
8,"금융감독원입니다. 계좌 보호를 위해 OTP 번호를 알려주세요.",HIGH
9,"해외결제가 감지되었습니다. 본인이 아니라면 링크를 눌러 차단하세요.",HIGH
10,"신용카드가 정지될 예정입니다. 아래 링크를 눌러 확인하세요.",HIGH
11,"안녕하세요. 오늘 오후 2시에 회의가 예정되어 있습니다.",LOW
12,"주문하신 상품이 오늘 출고되었습니다. 배송 조회는 앱에서 확인하실 수 있습니다.",LOW
13,"이번 달 카드 이용 내역이 등록되었습니다.",LOW
14,"오늘 저녁 7시에 밥 먹을래?",LOW
15,"회원님의 예약이 정상적으로 완료되었습니다.",LOW
16,"이번 주 금요일까지 과제 제출 부탁드립니다.",LOW
17,"고객님의 문의가 정상적으로 접수되었습니다.",LOW
18,"계좌이체가 정상적으로 완료되었습니다. 이용해 주셔서 감사합니다.",LOW
19,"병원 예약 시간이 내일 오전 10시입니다.",LOW
20,"오늘 비가 많이 온다고 하니 우산 챙겨 가세요.",LOW
21,"OO은행입니다. 최근 로그인 기록이 있습니다. 본인이 아니라면 고객센터에 문의하세요.",MEDIUM
22,"새로운 기기에서 로그인되었습니다. 본인이 아니라면 비밀번호를 변경하세요.",MEDIUM
23,"회원님의 계정 보안을 위해 비밀번호 변경을 권장합니다.",MEDIUM
24,"이벤트에 당첨되었습니다. 개인정보를 입력해주세요.",MEDIUM
25,"무료 쿠폰이 지급되었습니다. 링크를 통해 확인하세요.",MEDIUM
26,"지원금 신청 마감이 오늘까지입니다. 지금 신청하세요.",MEDIUM
27,"중고거래 안전결제를 위해 인증을 진행해주세요.",MEDIUM
28,"카카오 계정 보안을 위해 인증이 필요합니다.",MEDIUM
29,"해외 로그인 시도가 감지되었습니다.",MEDIUM
30,"모바일 청첩장을 확인해주세요.",LOW
31,"보안 강화를 위해 계좌 인증이 필요합니다. 미인증 시 서비스 이용이 제한됩니다.",HIGH
32,"고객님의 금융정보가 유출될 위험이 있습니다. 아래 링크에서 즉시 확인해 주세요.",HIGH
33,"카드 결제가 승인되었습니다. 본인이 아니라면 지금 바로 취소를 진행하세요.",HIGH
34,"국세청 안내입니다. 미납 세금이 확인되었습니다. 오늘 안으로 납부하지 않으면 불이익이 발생합니다.",HIGH
35,"건강보험료 환급 대상입니다. 지급을 위해 계좌정보를 입력해 주세요.",HIGH
36,"배송 주소 오류로 택배 배송이 보류되었습니다. 주소를 다시 입력해 주세요.",HIGH
37,"고객님의 택배가 반송 예정입니다. 배송비를 결제하면 재배송됩니다.",HIGH
38,"엄마 나 휴대폰이 고장 나서 번호가 바뀌었어. 급하게 송금 좀 부탁해.",HIGH
39,"친구야 지금 급한 일이 생겨서 잠깐 돈 좀 빌려줄 수 있어?",HIGH
40,"회원님의 계정이 해킹 위험으로 일시 정지되었습니다. 즉시 로그인하여 인증을 완료해 주세요.",HIGH

지피티 프로에게 1차 데이터와 겹치지 않는 데이터 요구
41,"고객님의 계좌가 금융사기 위험 계좌로 확인되었습니다. 즉시 안전계좌로 자금을 이체하시기 바랍니다.",HIGH
42,"법원 등기가 반송되었습니다. 아래 링크에서 주소를 다시 입력해주세요.",HIGH
43,"통신사 요금 미납으로 휴대폰 사용이 제한될 예정입니다. 지금 납부해주세요.",HIGH
44,"검찰 수사 협조를 위해 사건 확인서를 즉시 열람하시기 바랍니다.",HIGH
45,"해외 IP에서 고객님의 계정 접속이 확인되었습니다. 본인이 아니라면 인증을 진행하세요.",HIGH
46,"정부 긴급재난지원금 지급 대상입니다. 계좌번호를 입력하면 바로 지급됩니다.",HIGH
47,"안전거래를 위해 구매대금을 예치해야 합니다. 아래 계좌로 입금해주세요.",HIGH
48,"문화상품권으로 결제해주시면 즉시 환불 처리해드리겠습니다.",HIGH
49,"현재 고객님의 계좌가 지급정지 예정입니다. 상담원 안내에 따라 송금해주세요.",HIGH
50,"고객님의 인증서가 만료되었습니다. 아래 링크에서 재발급을 진행해주세요.",HIGH
51,"오늘 점심은 구내식당에서 먹을 예정이야.",LOW
52,"발표 자료 수정본을 팀 채팅방에 올려두었습니다.",LOW
53,"이번 주 토요일에 동아리 모임이 있습니다.",LOW
54,"필요한 책이 있으면 도서관에서 빌려올게.",LOW
55,"운동 끝나고 편의점에서 만나자.",LOW
